GCA_contig_name	SCAF
JALGQA010000082.1	SCAF_82
JALGQA010000083.1	SCAF_83
JALGQA010000084.1	SCAF_84
JALGQA010000085.1	SCAF_85
JALGQA010000086.1	SCAF_86
JALGQA010000087.1	SCAF_87
JALGQA010000088.1	SCAF_88
JALGQA010000089.1	SCAF_89
JALGQA010000009.1	SCAF_9
JALGQA010000090.1	SCAF_90
JALGQA010000091.1	SCAF_91
JALGQA010000092.1	SCAF_92
JALGQA010000093.1	SCAF_93
JALGQA010000094.1	SCAF_94
JALGQA010000095.1	SCAF_95
JALGQA010000096.1	SCAF_96
JALGQA010000097.1	SCAF_97
JALGQA010000098.1	SCAF_98
JALGQA010000099.1	SCAF_99
JALGQA010000616.1	mtDNA
